Hour,Minute,Second,Leq1s
0,0,0,39.45
0,0,1,37.75
0,0,2,60.56
0,0,3,37.46
0,0,4,36.81
0,0,5,36.81
0,0,6,37.74
0,0,7,37.12
0,0,8,37.52
0,0,9,38.39
0,0,10,38.96
0,0,11,41.67
0,0,12,60.51
0,0,13,40.19
0,0,14,39.95
0,0,15,38.4
0,0,16,38.21
0,0,17,36.95
0,0,18,36.77
0,0,19,37.45
0,0,20,38.19
0,0,21,41.21
0,0,22,60.63
0,0,23,40.1
0,0,24,39.19
0,0,25,38.33
0,0,26,37.85
0,0,27,35.72
0,0,28,45.77
0,0,29,42.62
0,0,30,36.65
0,0,31,35.76
0,0,32,60.58
0,0,33,36.98
0,0,34,35.85
0,0,35,37.08
0,0,36,36.77
0,0,37,35.94
0,0,38,36.24
0,0,39,36.4
0,0,40,37.42
0,0,41,36.2
0,0,42,60.58
0,0,43,36.48
0,0,44,36.26
0,0,45,35.58
0,0,46,37.42
0,0,47,37.21
0,0,48,35.71
0,0,49,37.05
0,0,50,36.69
0,0,51,38.14
0,0,52,60.56
0,0,53,39.07
0,0,54,37.5
0,0,55,37.94
0,0,56,37.07
0,0,57,37.44
0,0,58,37.0
0,0,59,37.41
0,1,0,36.32
0,1,1,34.79
0,1,2,60.57
0,1,3,35.95
0,1,4,37.37
0,1,5,40.61
0,1,6,43.12
0,1,7,44.0
0,1,8,38.82
0,1,9,38.43
0,1,10,37.44
0,1,11,36.87
0,1,12,60.57
0,1,13,36.22
0,1,14,36.43
0,1,15,36.87
0,1,16,37.28
0,1,17,36.79
0,1,18,37.39
0,1,19,36.47
0,1,20,36.15
0,1,21,67.01
0,1,22,60.62
0,1,23,38.31
0,1,24,37.24
0,1,25,36.88
0,1,26,38.83
0,1,27,37.34
0,1,28,37.03
0,1,29,37.67
0,1,30,37.08
0,1,31,37.1
0,1,32,60.57
0,1,33,37.29
0,1,34,36.18
0,1,35,36.93
0,1,36,36.19
0,1,37,36.85
0,1,38,38.6
0,1,39,38.27
0,1,40,38.46
0,1,41,38.37
0,1,42,60.53
0,1,43,37.98
0,1,44,39.48
0,1,45,37.67
0,1,46,38.01
0,1,47,37.46
0,1,48,37.69
0,1,49,40.59
0,1,50,43.64
0,1,51,45.55
0,1,52,60.91
0,1,53,49.25
0,1,54,46.67
0,1,55,43.11
0,1,57,42.78
0,1,58,42.06
0,1,59,38.92
0,2,0,39.64
0,2,1,40.1
0,2,2,36.64
0,2,3,60.48
0,2,4,37.49
0,2,5,37.03
0,2,6,36.09
0,2,7,36.73
0,2,8,36.12
0,2,9,35.81
0,2,10,37.35
0,2,11,38.74
0,2,12,40.77
0,2,13,60.63
0,2,14,38.69
0,2,15,37.81
0,2,16,36.59
0,2,17,37.14
0,2,18,36.55
0,2,19,37.8
0,2,20,37.32
0,2,21,36.58
0,2,22,37.41
0,2,23,60.58
0,2,24,36.45
0,2,25,36.19
0,2,26,36.69
0,2,27,35.41
0,2,28,35.52
0,2,29,36.93
0,2,30,37.54
0,2,31,35.34
0,2,32,36.29
0,2,33,60.58
0,2,34,35.76
0,2,35,36.52
0,2,36,36.1
0,2,37,36.77
0,2,38,35.42
0,2,39,37.93
0,2,40,37.07
0,2,41,39.94
0,2,42,37.3
0,2,43,60.56
0,2,44,42.36
0,2,45,39.41
0,2,46,38.88
0,2,47,38.16
0,2,48,37.18
0,2,49,36.38
0,2,50,36.64
0,2,51,38.19
0,2,52,38.33
0,2,53,60.6
0,2,54,39.45
0,2,55,39.23
0,2,56,40.41
0,2,57,37.77
0,2,58,37.62
0,2,59,37.63
0,3,0,36.75
0,3,1,36.63
0,3,2,35.93
0,3,3,60.55
0,3,4,36.61
0,3,5,36.32
0,3,6,36.76
0,3,7,36.07
0,3,8,35.46
0,3,9,35.4
0,3,10,35.83
0,3,11,36.88
0,3,12,35.37
0,3,13,60.5
0,3,14,35.46
0,3,15,37.46
0,3,16,37.33
0,3,17,36.7
0,3,18,36.68
0,3,19,36.84
0,3,20,36.32
0,3,21,78.34
0,3,22,38.98
0,3,23,60.39
0,3,24,44.58
0,3,25,43.01
0,3,26,42.86
0,3,27,41.72
0,3,28,42.66
0,3,29,48.59
0,3,30,52.13
0,3,31,49.68
0,3,32,50.17
0,3,33,61.26
